,순이익증가율,순이익증가률개별,순이익증가률연결
2736,-52.47,-61.61,-48.77
2737,-49.28,-7.76,-53.87
2738,134.61,27.72,131.85
2739,-191.3,-299.01,-223.4
2740,-5.66,11111111.11,11111111.11
2741,282.68,282.68,0.0
2742,-87.89,-87.89,0.0
2743,-212.63,-212.63,0.0
2744,0.0,11111111.11,0.0
2745,0.0,11111111.11,0.0
2746,0.0,11111111.11,0.0
2747,0.0,11111111.11,0.0
2748,0.0,11111111.11,0.0
2749,-142.63,11111111.11,-142.63
2750,61.54,61.54,11111111.11
2751,-358.97,-199.54,-358.97
2752,1254789.63,11111111.11,11111111.11
2753,1254789.63,11111111.11,11111111.11
2754,1254789.63,11111111.11,11111111.11
2755,-64.5,-238.47,-64.61
2756,282.43,11111111.11,259.19
2757,-55.86,-3.62,-55.51
2758,118.94,419.85,219.78
2759,5.01,95.93,5.09
2760,155.17,73.83,155.02
2761,15.24,37.32,14.93
2762,-20.03,-55.19,-19.77
2763,-22.53,0.18,-22.22
2764,-84.01,-65.75,-83.67
2765,57.99,-172.29,57.79
2766,158.89,11111111.11,155.39
2767,72.03,35.07,-22.6
2768,-98.41,-92.91,-98.41
2769,787.62,161.99,787.62
2770,56.69,56.69,700.71
2771,20.65,20.65,0.0
2772,-60.32,-60.32,0.0
2773,-72.55,-262.22,-43.21
2774,458.82,11111111.11,412.49
2775,61.56,-11.94,51.48
2776,-77.32,15.97,-77.32
2777,-54.72,-98.13,-54.72
2778,37.82,2099.36,31.99
2779,42.03,52.97,58.07
2780,-49.72,-54.34,-43.12
2781,-45.42,-14.02,-31.78
2782,-579.09,-411.16,-535.7
2783,1254789.63,11111111.11,11111111.11
2784,1254789.63,11111111.11,11111111.11
2785,39.47,11111111.11,11111111.11
2786,2.1,0.82,2.84
2787,-92.17,-87.5,-92.48
2788,623.4,-374.56,623.4
2789,0.0,11111111.11,0.0
2790,266.6,266.6,0.0
2791,79.27,79.27,0.0
2792,22.02,22.02,0.0
2793,100.36,100.36,0.0
2794,19.75,19.75,0.0
2795,-45.63,-45.63,0.0
2796,-76.62,-76.62,0.0
2797,19.31,60.81,76.47
2798,-112.13,-172.19,-112.13
2799,1254789.63,11111111.11,11111111.11
2800,74.43,187.15,60.18
2801,6.97,4.29,13.76
2802,19.55,-2.93,21.73
2803,-15.5,-34.99,-14.04
2804,11.52,69.92,11.33
2805,23.25,41.12,27.16
2806,-114.3,-73.23,-114.3
2807,-239.85,-239.85,11111111.11
2808,1254789.63,11111111.11,11111111.11
2809,1254789.63,11111111.11,11111111.11
2810,65.97,-25.29,144.85
2811,126.17,197.94,88.53
2812,17.03,199.51,9.09
2813,11.85,23.92,18.69
2814,73.55,36.95,67.42
2815,177.14,10.61,41.12
2816,-84.94,-75.57,-84.99
2817,-19.52,-14.68,-18.67
2818,-539.04,-178.02,-539.04
2819,1254789.63,11111111.11,11111111.11
2820,278.64,51.45,278.1
2821,-71.21,-33.66,-70.41
2822,74.95,-33.29,71.1
2823,-51.66,-71.41,-51.81
2824,69.48,242.68,16.72
2825,-160.8,-92.46,-160.8
2826,-14.16,-14.16,11111111.11
2827,-169.69,5.52,-169.69
2828,476.89,476.89,11111111.11
2829,103.2,10.09,61.11
