,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),0,1
302,(주)국보,1140,Dec-19,57467353,115356448,26.03,139.39
303,(주)국보디자인,66620,Dec-11,79203327,80200900,37.82,-30.48
304,(주)국보디자인,66620,Dec-12,92873298,92877548,17.26,15.81
305,(주)국보디자인,66620,Dec-13,121964092,127902185,31.32,37.71
306,(주)국보디자인,66620,Dec-14,125685773,132011877,3.05,3.21
307,(주)국보디자인,66620,Dec-15,129037954,141089858,2.67,6.88
308,(주)국보디자인,66620,Dec-16,150830570,158452485,16.89,12.31
309,(주)국보디자인,66620,Dec-17,158317679,164381715,4.96,3.74
310,(주)국보디자인,66620,Dec-18,161750972,175036784,2.17,6.48
311,(주)국보디자인,66620,Dec-19,197762410,222514980,22.26,27.12
312,(주)국순당,43650,Dec-11,193849294,199135153,-1.98,-10.51
313,(주)국순당,43650,Dec-12,203489729,209729554,4.97,5.32
314,(주)국순당,43650,Dec-13,203199593,218115221,-0.14,4
315,(주)국순당,43650,Dec-14,205782935,217479839,1.27,-0.29
316,(주)국순당,43650,Dec-15,203528460,216587928,-1.1,-0.41
317,(주)국순당,43650,Dec-16,200077411,213004831,-1.7,-1.65
318,(주)국순당,43650,Dec-17,208832133,242199755,4.38,13.71
319,(주)국순당,43650,Dec-18,221229658,238619493,5.94,-1.48
320,(주)국순당,43650,Dec-19,210006510,252484287,-5.07,5.81
321,(주)국영지앤엠,6050,Dec-11,61022765,11111111.11,-70.94,-95.6
322,(주)국영지앤엠,6050,Dec-12,60197670,11111111.11,-1.35,
323,(주)국영지앤엠,6050,Dec-13,63108054,11111111.11,4.83,
324,(주)국영지앤엠,6050,Dec-14,58995756,11111111.11,-6.52,
325,(주)국영지앤엠,6050,Dec-15,63713392,11111111.11,8,
326,(주)국영지앤엠,6050,Dec-16,65670915,11111111.11,3.07,
327,(주)국영지앤엠,6050,Dec-17,66101002,11111111.11,0.65,
328,(주)국영지앤엠,6050,Dec-18,60335138,11111111.11,-8.72,
329,(주)국영지앤엠,6050,Dec-19,68657302,11111111.11,13.79,
330,(주)국전약품,307750,Dec-18,11111111.11,11111111.11,-83.82,0
331,(주)국전약품,307750,Dec-19,11111111.11,11111111.11,,
332,(주)그래디언트,35080,Dec-11,521750143,777653618,4595.75,6898.88
333,(주)그래디언트,35080,Dec-12,482181596,739985481,-7.58,-4.84
334,(주)그래디언트,35080,Dec-13,473264178,1598503940,-1.85,116.02
335,(주)그래디언트,35080,Dec-14,455860309,1920350951,-3.68,20.13
336,(주)그래디언트,35080,Dec-15,475792856,2106702049,4.37,9.7
337,(주)그래디언트,35080,Dec-16,404583242,2073537018,-14.97,-1.57
338,(주)그래디언트,35080,Dec-17,344022749,1804533355,-14.97,-12.97
339,(주)그래디언트,35080,Dec-18,339457297,1809664488,-1.33,0.28
340,(주)그래디언트,35080,Dec-19,336145750,1780051911,-0.98,-1.64
341,(주)그리티,204020,Dec-18,86557287,95755030,-74.25,-94.62
342,(주)그리티,204020,Dec-19,86803901,92151596,0.28,-3.76
343,(주)그린플러스,186230,Dec-19,56587945,72321985,-34.81,-21.52
344,(주)글로벌스탠다드테크놀로지,83450,Dec-11,49714791,52575255,,
345,(주)글로벌스탠다드테크놀로지,83450,Dec-12,49050552,53824618,-1.34,2.38
346,(주)글로벌스탠다드테크놀로지,83450,Dec-13,57053266,62626777,16.32,16.35
347,(주)글로벌스탠다드테크놀로지,83450,Dec-14,63317853,69972237,10.98,11.73
348,(주)글로벌스탠다드테크놀로지,83450,Dec-15,60770711,69691968,-4.02,-0.4
349,(주)글로벌스탠다드테크놀로지,83450,Dec-16,78440684,89405841,29.08,28.29
350,(주)글로벌스탠다드테크놀로지,83450,Dec-17,88966307,102400669,13.42,14.53
351,(주)글로벌스탠다드테크놀로지,83450,Dec-18,87524011,105027408,-1.62,2.57
352,(주)글로벌스탠다드테크놀로지,83450,Dec-19,120984040,136751562,38.23,30.21
353,(주)금비,8870,Sep-11,134828296,215118770,11.44,57.31
354,(주)금비,8870,Sep-12,131454531,215481348,-2.5,0.17
355,(주)금비,8870,Sep-13,131903805,209837389,0.34,-2.62
356,(주)금비,8870,Sep-14,138058582,220865299,4.67,5.26
357,(주)금비,8870,Sep-15,142267212,231838031,3.05,4.97
358,(주)금비,8870,Sep-16,155344926,250604972,9.19,8.09
359,(주)금비,8870,Sep-17,148196313,247008401,-4.6,-1.44
360,(주)금비,8870,Sep-18,149863024,252892158,1.12,2.38
361,(주)금비,8870,Sep-19,151412728,260180107,1.03,2.88
362,(주)금양,1570,Dec-11,124086392,130817841,-18.05,-49.72
363,(주)금양,1570,Dec-12,127197484,127557393,2.51,-2.49
364,(주)금양,1570,Dec-13,142485295,147115126,12.02,15.33
365,(주)금양,1570,Dec-14,145135554,160244911,1.86,8.92
366,(주)금양,1570,Dec-15,157467543,165405931,8.5,3.22
