,자기자본증가율,0,1
884,7.29,7.29,11111111.11
885,3.58,3.58,11111111.11
886,3.11,3.11,11111111.11
887,4.74,-35.8,0.0
888,18.29,18.29,11111111.11
889,8.25,8.25,11111111.11
890,6.96,6.96,11111111.11
891,-13.13,-13.13,11111111.11
892,20.75,20.75,11111111.11
893,28.46,28.46,11111111.11
894,16.91,14.34,16.91
895,5.98,5.98,-92.7
896,6.22,-40.32,715.58
897,-20.76,-14.76,-21.56
898,7.55,2.67,7.8
899,15.26,6.91,16.12
900,-5.88,4.56,-6.05
901,16.37,12.79,16.28
902,9.4,-5.71,40.88
