회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
(주)금호에이치티,214330,17-Dec,7.78,3.66,0.0,0.0,0.0
(주)금호에이치티,214330,18-Dec,3.66,0.35,0.0,0.0,0.0
(주)금호에이치티,214330,19-Dec,0.35,,1.0,0.0,0.0
(주)기가레인,49080,13-Dec,5.72,7.6,0.0,0.0,0.0
(주)기가레인,49080,14-Dec,7.6,-13.79,0.0,0.0,0.0
(주)기가레인,49080,15-Dec,-13.79,-4.14,1.0,0.0,0.0
(주)기가레인,49080,16-Dec,-4.14,1.96,1.0,0.0,0.0
(주)기가레인,49080,17-Dec,1.96,-0.71,0.0,0.0,0.0
(주)기가레인,49080,18-Dec,-0.71,-8.09,1.0,0.0,0.0
(주)기가레인,49080,19-Dec,-8.09,,1.0,0.0,0.0
(주)기산텔레콤,35460,11-Dec,-3.73,0.71,1.0,0.0,0.0
(주)기산텔레콤,35460,12-Dec,0.71,4.99,1.0,0.0,0.0
(주)기산텔레콤,35460,13-Dec,4.99,2.53,0.0,0.0,0.0
(주)기산텔레콤,35460,14-Dec,2.53,2.72,0.0,0.0,0.0
(주)기산텔레콤,35460,15-Dec,2.72,-5.83,0.0,0.0,0.0
(주)기산텔레콤,35460,16-Dec,-5.83,-6.37,1.0,0.0,0.0
(주)기산텔레콤,35460,17-Dec,-6.37,-5.52,1.0,0.0,0.0
(주)기산텔레콤,35460,18-Dec,-5.52,6.63,1.0,0.0,0.0
(주)기산텔레콤,35460,19-Dec,6.63,,0.0,0.0,0.0
(주)까뮤이앤씨,13700,11-Dec,-14.28,0.46,1.0,0.0,0.0
(주)까뮤이앤씨,13700,12-Dec,0.46,-0.14,1.0,0.0,0.0
(주)까뮤이앤씨,13700,13-Dec,-0.14,0.4,1.0,0.0,0.0
(주)까뮤이앤씨,13700,14-Dec,0.4,1.65,1.0,0.0,0.0
(주)까뮤이앤씨,13700,15-Dec,1.65,1.92,0.0,0.0,0.0
(주)까뮤이앤씨,13700,16-Dec,1.92,4.85,0.0,0.0,0.0
(주)까뮤이앤씨,13700,17-Dec,4.85,2.29,0.0,0.0,0.0
(주)까뮤이앤씨,13700,18-Dec,2.29,5.87,0.0,0.0,0.0
(주)까뮤이앤씨,13700,19-Dec,5.87,,0.0,0.0,0.0
(주)나노신소재,121600,11-Dec,9.69,-2.32,0.0,0.0,0.0
(주)나노신소재,121600,12-Dec,-2.32,4.32,1.0,0.0,0.0
(주)나노신소재,121600,13-Dec,4.32,24.79,0.0,1.0,0.0
(주)나노신소재,121600,14-Dec,24.79,86.73,0.0,0.0,1.0
(주)나노신소재,121600,15-Dec,86.73,122.39,0.0,0.0,0.0
(주)나노신소재,121600,16-Dec,122.39,114.62,0.0,0.0,0.0
(주)나노신소재,121600,17-Dec,114.62,127.97,0.0,0.0,0.0
(주)나노신소재,121600,18-Dec,127.97,42.91,0.0,0.0,0.0
(주)나노신소재,121600,19-Dec,42.91,,0.0,0.0,0.0
(주)나무가,190510,15-Dec,8.35,-0.37,0.0,0.0,0.0
(주)나무가,190510,16-Dec,-0.37,-18.62,1.0,0.0,0.0
(주)나무가,190510,17-Dec,-18.62,1.01,1.0,0.0,0.0
(주)나무가,190510,18-Dec,1.01,1.15,0.0,0.0,0.0
(주)나무가,190510,19-Dec,1.15,,0.0,0.0,0.0
(주)나이벡,138610,11-Dec,-3.91,-2.68,1.0,0.0,0.0
(주)나이벡,138610,12-Dec,-2.68,-5.06,1.0,0.0,0.0
(주)나이벡,138610,13-Dec,-5.06,-5.51,1.0,0.0,0.0
(주)나이벡,138610,14-Dec,-5.51,-3.41,1.0,0.0,0.0
(주)나이벡,138610,15-Dec,-3.41,-3.51,1.0,0.0,0.0
(주)나이벡,138610,16-Dec,-3.51,-1.81,1.0,0.0,0.0
(주)나이벡,138610,17-Dec,-1.81,-4.64,1.0,0.0,0.0
(주)나이벡,138610,18-Dec,-4.64,-2.23,1.0,0.0,0.0
(주)나이벡,138610,19-Dec,-2.23,,1.0,0.0,0.0
(주)남성,4270,11-Dec,-0.06,-0.01,1.0,0.0,0.0
(주)남성,4270,12-Dec,-0.01,0.39,1.0,0.0,0.0
(주)남성,4270,13-Dec,0.39,0.41,1.0,0.0,0.0
(주)남성,4270,14-Dec,0.41,0.65,1.0,0.0,0.0
(주)남성,4270,15-Dec,0.65,1.01,1.0,0.0,0.0
(주)남성,4270,16-Dec,1.01,1.79,0.0,0.0,0.0
(주)남성,4270,17-Dec,1.79,0.23,0.0,0.0,0.0
