총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결)
0.027571861,0.254371472,0.248399221,4.384540864,1.670865645,7.392806788,0.07498183,0.646144266,1.362301642,6.056014534,0.027571861,0.254371472,0.052574916,0.379290561,inf,0.246918155
0.004749029,0.103259716,0.527471093,5.884704032,0.275266343,3.697142136,0.015264026,0.259043102,1.126140837,4.995350799,0.004749029,0.103259716,0.012258382,0.170253205,inf,0.11502937
0.576243281,0.58104678,251.2873132,255.2553208,240.2857705,237.311503,0.996967148,0.992837184,692.0076049,693.1221388,0.576243281,0.58104678,2.631469663,2.626104616,inf,1.132517405
0.55472881,0.559983631,370.8583183,375.9346577,198.542175,187.8305122,0.980885244,0.970937208,627.9752272,629.575698,0.55472881,0.559983631,2.627018682,2.622097585,inf,1.112972622
0.553035256,0.55679492,533.2657354,539.0602428,191.1965933,180.7542795,1.019796315,0.99241212,609.6818795,611.6500867,0.553035256,0.55679492,2.436770054,2.433109382,inf,1.21226707
0.569561842,0.573052259,528.7357188,535.3876328,218.5393587,214.1338816,1.142722567,1.079248126,544.4397222,545.9903169,0.569561842,0.573052259,2.395804311,2.386618807,inf,1.220556774
0.570908619,0.572921114,534.0420433,537.5048787,277.697191,271.837359,1.28504301,1.191995703,474.775467,475.5731195,0.570908619,0.572921114,2.407515617,2.397577239,inf,1.04650107
0.542248416,0.542848481,533.6481071,535.7451377,326.0438109,322.3480608,1.3514811,1.271155173,506.5025562,507.0875859,0.542248416,0.542848481,2.397091354,2.390666396,inf,0.953125883
0.474685773,0.475119559,601.8338795,603.6754382,306.6622416,304.6853593,1.278469169,1.227740145,497.3708828,497.8575142,0.474685773,0.475119559,2.281743901,2.274744317,inf,0.807522379
0.405247174,0.405772194,595.2736299,595.9703515,180.1274872,179.4493203,1.125221382,1.10110937,414.8656876,415.4483498,0.405247174,0.405772194,2.167749085,2.164308293,inf,0.733081137
0.415506101,0.416201772,307.5938125,307.8819802,158.7581244,157.9953662,1.144162754,1.132441939,409.0871971,409.7525237,0.415506101,0.416201772,2.22980384,2.227510505,inf,0.835846425
2.294784933,,15.91622384,,3.790637815,,14.18952635,,4.825525966,,2.294784933,,2.600499653,,inf,
3.513300597,,21.9121038,,3.85755757,,25.56731906,,6.750080104,,3.513300597,,2.585290962,,inf,
1.235850618,,13.20154353,,1.713239846,,11.00857989,,4.136887297,,1.235850618,,1.271053261,,inf,
1.068934942,,21.2171798,,2.405327514,,6.96091475,,6.491408719,,1.068934942,,2.38580653,,inf,
0.927647485,,27.28098817,,2.272103784,,4.95561382,,5.455838108,,0.927647485,,2.290861187,,inf,
0.81837196,0.757347396,47.42077301,44.95265224,1.979381175,1.883135278,4.629398018,3.059885996,6.246296735,5.942575328,0.81837196,0.757347396,2.059630587,1.659260419,inf,0.725070695
1.648031868,1.586874556,236.1403413,233.0447429,2.207909399,2.179266863,8.873154125,5.435627437,8.051505379,7.947055653,1.648031868,1.586874556,2.877467557,2.449740542,inf,1.347210127
1.782206606,1.744152432,176.7993667,176.7993667,1.897194827,1.897194827,9.494429444,5.695922319,6.488348798,6.488348798,1.782206606,1.744152432,2.121177919,1.94096386,inf,1.239390751
1.178816825,1.193064858,146.9805667,146.9805667,1.34092386,1.34092386,4.742812388,3.382365509,4.476100122,4.476100122,1.178816825,1.193064858,1.173209923,1.075580337,inf,0.841725364
1.354810029,1.948243325,inf,1173.34242,5.733561744,6.721101307,93.43501975,61.30565185,35.84585731,40.59453984,1.354810029,1.948243325,2.174100989,2.731417665,inf,2.320354927
1.505171532,2.151167139,inf,1648.48239,6.571695669,8.864382817,147.2221544,26.63928944,28.37822272,32.38426217,1.505171532,2.151167139,2.398182542,2.904373805,inf,2.228251136
1.297762545,1.959365282,inf,509.8278299,6.167738143,9.527363627,123.0612646,14.33344574,22.72082335,26.27372085,1.297762545,1.959365282,2.314643117,2.714410884,inf,2.079947122
1.439906935,1.963635737,154.7345557,126.6501786,5.799542926,7.584512011,154.2910739,14.27733977,24.36053862,22.13216037,1.439906935,1.963635737,2.2926488,2.29696123,inf,1.881788687
1.45231841,1.712883389,239.6755384,215.4151257,8.233102487,11.12895263,179.6378915,20.96311801,29.15470334,23.61451932,1.45231841,1.712883389,3.196051046,3.046224009,inf,1.755617666
0.956228581,1.112773584,inf,9162.91773,7.046721471,9.531774147,101.8224216,19.15924654,16.23080131,14.61063497,0.956228581,1.112773584,3.319925584,3.233993565,inf,1.278029461
0.865178128,0.873699783,inf,inf,5.27491579,5.335868356,90.39593829,25.25482072,11.43559465,10.24741236,0.865178128,0.873699783,3.797621059,3.251102365,inf,1.118209726
0.654769265,0.658849235,inf,inf,3.337637972,3.326753793,73.41253664,71.6625265,9.443280754,9.439174623,0.654769265,0.658849235,2.936554895,2.737373589,inf,1.026014874
1.182510104,1.190475912,inf,inf,4.946851527,4.946633078,75.2570208,75.2570208,18.86342786,18.83243189,1.182510104,1.190475912,4.426129351,4.345529981,inf,2.0599977
0.820250911,0.833495422,1.118792598,1.1188532,9.899676528,9.879154845,2.523243793,2.411982584,7.307192941,7.333920372,0.820250911,0.833495422,2.974748645,2.984439252,inf,1.13347827
0.880764898,0.929479003,1.189356143,1.014181336,12.54468588,9.570309667,2.657757059,1.9204135,7.356799099,7.65174806,0.880764898,0.929479003,3.168887652,1.845195502,inf,1.15645036
0.886306372,1.247133253,1.222311387,1.282354381,11.39702321,9.446634636,2.613611854,2.021015493,7.457138648,10.56811351,0.886306372,1.247133253,2.670973193,1.865633935,inf,1.443584648
0.812834122,1.135189631,1.157248149,1.245431694,9.428211294,7.653338894,2.327632694,1.714724233,7.024422938,9.461851949,0.812834122,1.135189631,2.361631427,1.807693778,inf,1.40045847
0.804602313,1.143353406,1.094202645,1.189278263,7.905785008,6.960416702,2.263194441,1.63205773,6.479737374,8.641508122,0.804602313,1.143353406,1.788006171,1.526285384,inf,1.305840683
0.818857695,1.137557275,1.040857879,1.170426586,7.169387859,6.450795588,2.350611118,1.598096606,6.067627834,7.927463907,0.818857695,1.137557275,1.574143851,1.464250772,inf,1.285975866
