회사명,거래소코드,회계년도,이자보상배율
넵튠,217270,Dec-19,-24.07
노랑풍선,104620,Dec-19,-4.42
노루페인트,90350,Dec-11,2.17
노루페인트,90350,Dec-12,2.38
노루페인트,90350,Dec-13,2.93
노루페인트,90350,Dec-14,3.84
노루페인트,90350,Dec-15,5.3
노루페인트,90350,Dec-16,5.74
노루페인트,90350,Dec-17,5.49
노루페인트,90350,Dec-18,4.57
노루페인트,90350,Dec-19,6.28
노루홀딩스,320,Dec-11,1.05
노루홀딩스,320,Dec-12,1.2
노루홀딩스,320,Dec-13,1.81
노루홀딩스,320,Dec-14,2.91
노루홀딩스,320,Dec-15,2.92
노루홀딩스,320,Dec-16,2.69
노루홀딩스,320,Dec-17,2.41
노루홀딩스,320,Dec-18,1.43
노루홀딩스,320,Dec-19,3.36
노바렉스,194700,Dec-18,389.16
노바렉스,194700,Dec-19,389.16
노바텍,285490,Dec-18,665.98
노바텍,285490,Dec-19,665.98
노블엠앤비,106520,Dec-12,11.2
노블엠앤비,106520,Dec-13,17.99
노블엠앤비,106520,Dec-14,1.3
노블엠앤비,106520,Dec-15,-4.2
노블엠앤비,106520,Dec-16,-6.13
노블엠앤비,106520,Dec-17,-4.91
노블엠앤비,106520,Dec-18,-3.67
노블엠앤비,106520,Dec-19,-0.29
노터스,278650,Dec-19,10.34
녹십자,6280,Dec-11,26.01
녹십자,6280,Dec-12,34.94
녹십자,6280,Dec-13,44.02
녹십자,6280,Dec-14,20.91
녹십자,6280,Dec-15,18.28
녹십자,6280,Dec-16,14.57
녹십자,6280,Dec-17,14.32
녹십자,6280,Dec-18,6.59
녹십자,6280,Dec-19,4.19
녹십자엠에스,142280,Dec-14,9.68
녹십자엠에스,142280,Dec-15,2.64
녹십자엠에스,142280,Dec-16,-3.5
녹십자엠에스,142280,Dec-17,0.26
녹십자엠에스,142280,Dec-18,-6.18
녹십자엠에스,142280,Dec-19,-5.1
녹십자웰빙,234690,Dec-19,116.86
녹십자홀딩스,5250,Dec-11,6.7
녹십자홀딩스,5250,Dec-12,11.58
녹십자홀딩스,5250,Dec-13,14.14
녹십자홀딩스,5250,Dec-14,12.54
녹십자홀딩스,5250,Dec-15,11.36
녹십자홀딩스,5250,Dec-16,8.82
녹십자홀딩스,5250,Dec-17,8.1
녹십자홀딩스,5250,Dec-18,2.81
녹십자홀딩스,5250,Dec-19,1.65
녹원씨엔아이,65560,Dec-11,2.99
녹원씨엔아이,65560,Dec-12,-4.75
녹원씨엔아이,65560,Dec-13,-10.45
녹원씨엔아이,65560,Dec-14,-6.5
녹원씨엔아이,65560,Dec-15,1.06
녹원씨엔아이,65560,Dec-16,-3.27
녹원씨엔아이,65560,Dec-17,2.53
녹원씨엔아이,65560,Dec-18,2.98
녹원씨엔아이,65560,Dec-19,2.87
농심,4370,Dec-11,34.68
농심,4370,Dec-12,26.75
