,Unnamed: 0,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,한계기업
2969,2969,(주)세원물산,24830,14-Dec,-3485.18,77777777.77,-3485.18,1.0
2983,2983,(주)세원정공,21820,19-Jun,176.05,-20.45,-20.45,1.0
3030,3030,(주)세토피아,222810,18-Dec,-3.02,-3.02,-3.02,1.0
3039,3039,(주)센트럴인사이트,12600,13-Dec,-8.67,-6.5,-6.5,1.0
3046,3046,(주)셀루메드,49180,11-Dec,-3.95,-5.37,-5.37,1.0
3055,3055,(주)셀리드,299660,17-Dec,-1249.1,-1249.1,-1249.1,1.0
3064,3064,(주)셀바스에이아이,108860,16-Dec,-8.96,-13.49,-13.49,1.0
3072,3072,(주)셀바스헬스케어,208370,18-Dec,-11.86,-16,-16.0,1.0
3093,3093,(주)셀피글로벌,68940,16-Dec,3.17,0.76,0.76,1.0
3097,3097,(주)소프트센,32680,11-Sep,-11.65,-11.65,-11.65,1.0
3109,3109,(주)손오공,66910,14-Dec,-11.51,-3.04,-3.04,1.0
3116,3116,(주)솔고바이오메디칼,43100,12-Dec,-4.44,-4.55,-4.55,1.0
3133,3133,(주)솔본,35610,13-Dec,0.75,0.75,0.75,1.0
3201,3201,(주)스카이문스테크놀로지,33790,11-Dec,-2052578.47,-2052578,-2052578.0,1.0
3213,3213,(주)스킨앤스킨,159910,15-Dec,-3.32,-3.74,-3.74,1.0
3218,3218,(주)스타플렉스,115570,11-Dec,4.14,-1.11,-1.11,1.0
3231,3231,(주)스튜디오산타클로스엔터테인먼트,204630,18-Dec,0.54,-2.36,-2.36,1.0
3233,3233,(주)스페코,13810,11-Dec,0.62,-0.41,-0.41,1.0
3262,3262,(주)시너지이노베이션,48870,13-Dec,-4.88,-5.02,-5.02,1.0
3305,3305,(주)시티랩스,139050,17-Dec,-32.47,-17.05,-17.05,1.0
3319,3319,(주)신성이엔지,11930,13-Dec,-1.04,-1.04,-1.04,1.0
3439,3439,(주)쌍방울,102280,15-Dec,0.7,0.52,0.52,1.0
3444,3444,(주)썸에이지,208640,14-Dec,-1.82,-1.82,-1.82,1.0
3455,3455,(주)쎄니트,37760,11-Dec,-5.23,-1.6,-1.6,1.0
3475,3475,(주)쎌마테라퓨틱스,15540,13-Dec,-65.61,-49.39,-49.39,1.0
3500,3500,(주)씨씨에스충북방송,66790,11-Dec,-0.11,0.71,0.71,1.0
3511,3511,(주)씨아이테크,4920,13-Dec,-7.6,-5.7,-5.7,1.0
3518,3518,(주)씨에스,65770,11-Dec,-2.59,-1.31,-1.31,1.0
3528,3528,(주)씨에스에이코스믹,83660,12-Dec,-1.86,-2.21,-2.21,1.0
3540,3540,(주)씨엔플러스,115530,15-Dec,-4.72,-5.9,-5.9,1.0
3579,3579,(주)씨티씨바이오,60590,18-Dec,-1.47,-1.54,-1.54,1.0
